position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
62,Garen,3.333,top,46.43,10.39,6.61,25,76672,iron,1.0,1.0,"['Tahm Kench', 'Sion', 'Mordekaiser', 'Trundle', 'Gnar']","['44.44', '44.63', '47.64', '47.92', '48']","['324', '298', '1167', '1250', '200']","['Riven', 'Kled', 'Sylas', 'Rumble', ""K'Sante""]","['60.06', '59.68', '59.05', '58.42', '58.37']","['328', '124', '105', '190', '221']",1.7776666666666667
63,Shen,3.333,top,42.98,1.31,0.25,-2,9662,iron,3.0,5.0,"['Sion', 'Tryndamere', 'Illaoi', 'Fiora', 'Volibear']","['30.56', '37.93', '39.13', '40', '40.54']","['36', '58', '92', '45', '74']","['Ornn', 'Akali', ""Cho'Gath"", 'Pantheon', 'Irelia']","['71.88', '68.75', '68.63', '65.71', '62.5']","['32', '32', '51', '35', '56']",3.7776666666666667
64,Bel'Veth,3.333,top,37.15,0.05,2.64,0,393,iron,5.0,,[],[],[],[],[],[],4.1665
65,Akshan,3.333,top,40.36,0.24,2.33,-1,1764,iron,4.0,,"['Mordekaiser', 'Sett', 'Jax', 'Teemo', 'Yone']","['34.38', '35.56', '40', '42.86', '47.83']","['32', '45', '40', '42', '46']","['Illaoi', 'Garen']","['58.33', '57.78']","['36', '45']",3.6665
66,Galio,3.333,top,41.81,0.13,0.5,0,952,iron,4.0,,[],[],[],['Teemo'],['65.63'],['32'],3.6665
67,Trundle,3.333,top,47.85,8.38,15.29,37,61839,iron,1.0,1.0,"['Heimerdinger', 'Singed', 'Teemo', 'Sion']","['48.02', '48.18', '48.51', '49.83']","['202', '137', '1006', '291']","['Riven', 'Dr. Mundo', 'Warwick', 'Varus', 'Olaf']","['61', '59.85', '59.76', '59.7', '59.03']","['241', '396', '246', '67', '288']",1.7776666666666667
68,Gnar,3.333,top,41.86,1.86,0.58,-4,13717,iron,3.0,5.0,"['Dr. Mundo', 'Pantheon', 'Jayce', 'Irelia', 'Yorick']","['29.41', '31.82', '37.14', '38.03', '41.51']","['68', '44', '35', '71', '106']","[""K'Sante"", 'Vayne', 'Gwen', 'Darius', 'Renekton']","['69.23', '60.61', '57.97', '56.38', '56.16']","['39', '33', '69', '149', '73']",3.7776666666666667
69,Gwen,3.333,top,41.91,3.03,1.81,-7,22349,iron,3.0,4.0,"['Singed', 'Riven', 'Gnar', 'Fiora', 'Kayle']","['30.3', '40.66', '42.03', '42.75', '42.86']","['33', '91', '69', '138', '161']","['Camille', 'Darius', 'Sylas', 'Renekton', ""K'Sante""]","['56.63', '55.56', '55', '54.55', '54.17']","['83', '243', '40', '99', '72']",3.4443333333333332
70,Malphite,3.333,top,45.23,5.77,7.11,7,42545,iron,1.0,2.0,"['Sion', 'Dr. Mundo', 'Ornn', 'Mordekaiser', 'Urgot']","['38.46', '42.8', '43.55', '43.7', '44.13']","['169', '250', '186', '595', '213']","['Pantheon', 'Camille', 'Kled', 'Fiora', 'Tryndamere']","['61.18', '60.58', '59.18', '58.87', '58.1']","['152', '104', '49', '231', '358']",2.111
71,Warwick,3.333,top,45.07,1.79,8.44,2,13215,iron,2.0,3.0,"['Trundle', 'Nasus', 'Tahm Kench', 'Ornn', 'Sion']","['40', '41.26', '42', '42.22', '42.42']","['245', '143', '50', '45', '33']","['Gangplank', 'Riven', 'Rumble', 'Akali', 'Urgot']","['69.44', '68.29', '66.67', '61.11', '60']","['36', '41', '45', '54', '60']",2.7776666666666667
72,Akali,3.333,top,42.08,2.87,17.59,-7,21178,iron,2.0,4.0,"['Shen', 'Dr. Mundo', 'Tahm Kench', 'Urgot', 'Warwick']","['31.25', '33.33', '37.5', '37.5', '38.89']","['32', '96', '64', '88', '54']","['Kled', 'Volibear', 'Jayce', 'Pantheon', 'Vayne']","['57.5', '55.28', '54.22', '53.66', '53.06']","['40', '123', '83', '82', '49']",3.111
73,Qiyana,3.666,top,36.07,0.05,0.29,0,366,iron,4.0,,[],[],[],[],[],[],3.833
74,Lillia,3.666,top,44.57,0.4,2.49,0,2935,iron,3.0,,"['Darius', 'Teemo', 'Yone', 'Jax', 'Garen']","['32.5', '42.42', '42.86', '45.65', '48.53']","['40', '66', '42', '46', '68']","['Illaoi', 'Nasus', 'Malphite', 'Trundle', 'Sett']","['55.81', '54.17', '53.33', '51.85', '50.91']","['43', '48', '30', '54', '55']",3.333
75,Vayne,3.666,top,41.21,1.71,9.39,-6,12605,iron,3.0,5.0,"['Sion', 'Nasus', 'Fiora', 'Dr. Mundo', 'Quinn']","['35.29', '37.58', '37.68', '38.03', '38.46']","['51', '157', '69', '71', '39']","['Pantheon', ""K'Sante"", 'Heimerdinger', 'Volibear', 'Tryndamere']","['73.81', '64.52', '58.06', '57.89', '56.94']","['42', '31', '31', '95', '72']",3.888666666666667
76,Yorick,3.666,top,47.76,4.17,6.84,16,30770,iron,1.0,2.0,"['Tryndamere', 'Kled', 'Heimerdinger', 'Yasuo', 'Fiora']","['41.72', '46.43', '46.55', '46.88', '47.62']","['302', '56', '116', '160', '168']","['Varus', 'Rumble', 'Poppy', 'Gangplank', 'Riven']","['65.79', '63.95', '62.86', '62.2', '60.96']","['38', '86', '35', '82', '146']",2.222
