position,champion_name,grade_x,lane,win_rate,pick_rate,ban_rate,pbi,games_played,ranking,grade_y,grade,counter,win_rate_weak,games_played_weak,strong,win_rate_strong,games_played_strong,custom_grade
73,Ashe,4.333,support,46.49,3.63,7.29,-11,102474,bronze,3.0,4.0,"['Maokai', 'Amumu', 'Taric', 'Galio', 'Shaco']","['41.64', '41.67', '42.11', '42.52', '43.59']","['365', '240', '171', '127', '312']","['Hwei', 'Veigar', 'Pantheon', 'Miss Fortune', 'Yuumi']","['57.45', '53.52', '52.88', '52.66', '50.82']","['785', '327', '607', '676', '1279']",3.7776666666666667
74,Malzahar,4.333,support,48.08,0.15,8.1,0,4274,bronze,2.0,,"['Malphite', 'Neeko', 'Seraphine', 'Nami', 'Rakan']","['37.84', '38.46', '41.54', '41.94', '43.75']","['37', '39', '65', '31', '48']","['Hwei', 'Yuumi', 'Karma', 'Thresh', 'Lulu']","['55.1', '54.9', '54.84', '53.33', '53.33']","['49', '51', '31', '60', '30']",3.1665
75,Nunu & Willump,4.333,support,40.77,0.11,0.65,-1,3027,bronze,5.0,,"['Xerath', 'Yuumi', 'Senna', 'Seraphine', 'Blitzcrank']","['28.3', '33.33', '34.15', '34.29', '37.8']","['53', '42', '82', '35', '82']",[],[],[],4.6665
76,Cho'Gath,4.333,support,47.8,0.43,1.3,-1,12047,bronze,3.0,,"['Teemo', 'Shaco', 'Zyra', 'Milio', 'Rakan']","['23.53', '34.29', '35.5', '37.5', '40.14']","['34', '35', '200', '40', '142']","['Blitzcrank', 'Renata Glasc', 'Neeko', 'Nami', 'Karma']","['55.79', '54.29', '53.93', '53.85', '53.42']","['233', '35', '89', '65', '73']",3.6665
77,Skarner,4.333,support,41.21,0.01,0.12,0,364,bronze,,,[],[],[],[],[],[],4.333
78,Lulu,4.666,support,46.68,3.14,1.34,-8,88635,bronze,3.0,4.0,"['Zyra', 'Maokai', 'Taric', 'Brand', 'Blitzcrank']","['41.66', '42.09', '42.63', '43.15', '44.04']","['1486', '354', '190', '1335', '1610']","['Hwei', 'Veigar', 'Miss Fortune', 'Ashe', 'Yuumi']","['56.83', '54.73', '51.44', '51.36', '51.22']","['688', '243', '383', '808', '1146']",3.888666666666667
79,Kog'Maw,4.666,support,46.35,0.05,0.46,0,1536,bronze,4.0,,"['Lux', 'Pyke']","['41.05', '46.67']","['95', '30']","['Senna', 'Xerath', 'Blitzcrank', 'Nautilus']","['54', '53.33', '52.63', '51.61']","['50', '30', '38', '31']",4.333
80,Veigar,4.666,support,48.17,1.26,5.1,-1,35542,bronze,3.0,4.0,"['Twitch', 'Ziggs', 'Janna', 'Xerath', 'Zyra']","['36.84', '37.5', '41.27', '41.88', '43.1']","['76', '72', '126', '573', '594']","['Hwei', 'Thresh', 'Miss Fortune', 'Yuumi', 'Rell']","['60.37', '58.06', '55.13', '54.5', '53.57']","['270', '577', '156', '389', '168']",3.888666666666667
81,Anivia,5.0,support,45.79,0.36,0.82,-1,10193,bronze,4.0,,"['Tahm Kench', 'Maokai', 'Morgana', 'Sona', 'Miss Fortune']","['30', '34.69', '35.21', '36.56', '37.5']","['30', '49', '338', '93', '40']","['Renata Glasc', 'Bard', 'Yuumi', 'Hwei', ""Vel'Koz""]","['59.46', '55.56', '54.84', '54.64', '54']","['37', '36', '124', '97', '50']",4.5
82,Azir,5.0,support,40.33,0.06,0.79,-1,1721,bronze,5.0,,"['Xerath', 'Brand', 'Blitzcrank', 'Leona', 'Lux']","['22.22', '24.24', '29.09', '36.36', '38.3']","['36', '33', '55', '33', '94']",[],[],[],5.0
83,Dr. Mundo,5.0,support,46.92,0.09,3.23,0,2547,bronze,3.0,,"['Leona', 'Zyra', 'Pyke', 'Brand', 'Yuumi']","['35.71', '41.18', '43.59', '44.74', '45.71']","['56', '34', '39', '38', '35']","['Nautilus', 'Lux']","['55.56', '50.38']","['54', '131']",4.0
84,Wukong,5.0,support,45.59,0.05,0.37,0,1303,bronze,5.0,,"['Senna', 'Lux', 'Morgana']","['33.33', '41.79', '45.16']","['33', '67', '31']",['Blitzcrank'],['51.16'],['43'],5.0
85,Yuumi,5.333,support,46.5,4.59,3.04,-13,129417,bronze,3.0,4.0,"['Amumu', 'Braum', 'Leona', 'Alistar', 'Rell']","['39.83', '42.08', '42.14', '42.87', '42.88']","['359', '499', '2444', '870', '660']","['Miss Fortune', 'Hwei', 'Renata Glasc', 'Karma']","['56.38', '53.86', '51.12', '50.26']","['596', '1088', '448', '961']",4.111
86,Sejuani,5.333,support,45.55,0.09,0.38,0,2562,bronze,3.0,,"['Morgana', 'Swain', 'Lux', 'Rakan', 'Senna']","['37.68', '40.54', '41.13', '41.67', '42.03']","['69', '37', '141', '36', '69']","['Thresh', 'Nautilus', 'Blitzcrank', 'Zyra', 'Seraphine']","['58.97', '57.41', '56.86', '56.52', '56.1']","['39', '54', '51', '46', '41']",4.1665
87,Miss Fortune,5.333,support,45.66,1.61,7.25,-6,45458,bronze,3.0,5.0,"['Braum', 'Taric', 'Milio', 'Xerath', 'Shaco']","['35.62', '38.67', '39.89', '41.5', '42.51']","['146', '75', '183', '1029', '167']","['Shen', 'Heimerdinger', 'Hwei', 'Seraphine', 'Zilean']","['58.97', '55.29', '54.08', '53.57', '53.57']","['39', '208', '392', '560', '140']",4.444333333333334
1,Zac,0.666,top,47.49,0.21,0.74,1,1533,iron,3.0,,[],[],[],"['Yone', 'Jax']","['60', '58.06']","['30', '31']",1.833
2,Karthus,0.666,top,44.84,0.11,0.59,0,843,iron,2.0,,[],[],[],[],[],[],1.333
3,Singed,0.666,top,47.7,1.09,0.6,4,8039,iron,2.0,3.0,"['Kayle', 'Darius', 'Volibear', 'Illaoi']","['36.54', '40.98', '42.25', '48.91']","['52', '122', '71', '92']","['Fiora', 'Gwen', 'Aatrox', 'Jax', 'Mordekaiser']","['70.73', '70.59', '60.36', '59.85', '59.5']","['41', '34', '111', '132', '121']",1.8886666666666667
4,Graves,1.0,top,42.85,0.22,4.15,0,1601,iron,3.0,,['Yone'],['35.48'],['31'],[],[],[],2.0
5,Annie,1.0,top,45.67,0.07,0.74,0,497,iron,3.0,,[],[],[],[],[],[],2.0
6,Fiddlesticks,1.0,top,45.09,0.14,0.9,0,1029,iron,3.0,,[],[],[],[],[],[],2.0
7,LeBlanc,1.0,top,43.59,0.08,6.19,0,562,iron,2.0,,[],[],[],[],[],[],1.5
8,Rengar,1.333,top,42.51,0.33,1.39,-1,2409,iron,4.0,,"['Sett', 'Illaoi', 'Aatrox', 'Jax', 'Teemo']","['34.29', '38.71', '40.63', '42.86', '48.89']","['35', '31', '32', '42', '45']","['Darius', 'Yone', 'Trundle']","['64.52', '62.22', '52.38']","['31', '45', '42']",2.6665
9,Senna,1.333,top,42.9,0.25,5.24,0,1837,iron,3.0,,"['Sett', 'Garen', 'Darius', 'Trundle', 'Illaoi']","['41.03', '42.55', '42.86', '43.9', '45.16']","['39', '47', '35', '41', '31']",['Jax'],['51.61'],['31'],2.1665
10,Rek'Sai,1.333,top,40.4,0.02,0.36,0,151,iron,5.0,,[],[],[],[],[],[],3.1665
11,Jax,1.333,top,43.74,8.87,14.65,-4,65404,iron,1.0,2.0,"['Singed', 'Garen', 'Illaoi', 'Kled', 'Nasus']","['40.15', '42.74', '43.53', '43.9', '44.54']","['132', '1392', '788', '82', '779']","['Varus', 'Yasuo', ""K'Sante"", 'Renekton', 'Sylas']","['68.75', '58.9', '57.41', '55.61', '55.37']","['64', '365', '216', '410', '121']",1.4443333333333335
12,Ornn,1.333,top,45.94,2.12,0.7,4,15659,iron,2.0,3.0,"['Shen', 'Urgot', 'Heimerdinger', 'Olaf', 'Illaoi']","['28.13', '41.58', '42.31', '42.42', '42.57']","['32', '101', '52', '66', '202']","['Quinn', 'Riven', 'Renekton', 'Vayne', 'Kennen']","['68.29', '66.67', '64.49', '61.4', '61.11']","['41', '51', '107', '57', '36']",2.111
13,Ahri,1.666,top,45.24,0.19,3.56,0,1430,iron,2.0,,"['Sett', 'Teemo']","['43.75', '47.83']","['32', '46']","['Garen', 'Jax']","['63.64', '53.13']","['33', '32']",1.833
14,Poppy,1.666,top,42.7,0.66,0.9,-1,4902,iron,3.0,5.0,"['Yorick', 'Mordekaiser', 'Teemo', 'Kayle', 'Darius']","['37.14', '37.7', '42.86', '43.24', '43.33']","['35', '61', '70', '37', '60']","['Volibear', 'Gwen', 'Aatrox', 'Renekton', 'Tryndamere']","['66.67', '56.25', '56.14', '54.84', '53.66']","['39', '32', '57', '31', '41']",3.222
15,Zed,1.666,top,41.95,0.29,25.46,-1,2105,iron,3.0,,"['Mordekaiser', 'Sett', 'Nasus', 'Trundle', 'Teemo']","['37.84', '39.22', '45.61', '45.71', '46.15']","['37', '51', '57', '35', '78']","['Garen', 'Darius', 'Illaoi', 'Jax']","['58.49', '54.72', '51.43', '50.85']","['53', '53', '35', '59']",2.333
16,Heimerdinger,1.666,top,46.6,1.75,3.43,4,12933,iron,2.0,3.0,"['Sion', 'Gangplank', 'Vayne', 'Malphite', 'Darius']","['37.31', '41.67', '41.94', '44.29', '45.05']","['67', '36', '31', '140', '182']","['Camille', 'Fiora', 'Rumble', ""K'Sante"", 'Olaf']","['62.86', '62.71', '60.87', '60', '59.42']","['35', '59', '46', '65', '69']",2.222
17,Shaco,1.666,top,44.45,0.45,31.94,0,3354,iron,2.0,,"['Tryndamere', 'Yorick', 'Garen', 'Sett', 'Nasus']","['29.03', '36.36', '40.91', '41.18', '44.19']","['31', '33', '66', '51', '43']","['Jax', 'Illaoi', 'Trundle', 'Darius']","['61.54', '55.32', '52.46', '52']","['52', '47', '61', '50']",1.833
18,Fiora,1.666,top,43.39,3.19,5.01,-3,23494,iron,2.0,3.0,"['Singed', 'Kled', 'Heimerdinger', 'Quinn', 'Nasus']","['29.27', '34', '37.29', '37.5', '39.24']","['41', '50', '59', '40', '237']","[""K'Sante"", 'Vayne', 'Gangplank', 'Shen', 'Riven']","['62.64', '62.32', '62.07', '60', '59.06']","['91', '69', '58', '45', '127']",2.222
19,Jayce,2.0,top,41.65,2.09,2.09,-5,15410,iron,3.0,4.0,"['Urgot', 'Olaf', 'Nasus', 'Pantheon', 'Renekton']","['32.08', '32.56', '37.32', '37.5', '39.77']","['53', '43', '142', '48', '88']","['Gnar', 'Volibear', 'Camille', 'Fiora', ""K'Sante""]","['62.86', '61.64', '57.14', '55.07', '55']","['35', '73', '35', '69', '40']",3.0
20,Nidalee,2.0,top,38.51,0.06,0.82,0,470,iron,4.0,,[],[],[],[],[],[],3.0
21,Tryndamere,2.0,top,43.94,4.25,4.34,-1,31337,iron,2.0,3.0,"['Pantheon', 'Tahm Kench', 'Malphite', 'Warwick', 'Trundle']","['40.4', '41.6', '41.9', '42.53', '43.02']","['99', '125', '358', '87', '451']","['Sylas', 'Shen', 'Gangplank', 'Riven', 'Yorick']","['67.39', '62.71', '62.34', '58.51', '58.42']","['46', '59', '77', '94', '303']",2.3333333333333335
22,Urgot,2.0,top,46.44,2.89,1.65,7,21320,iron,2.0,3.0,"['Warwick', 'Sion', 'Kled', 'Singed', ""K'Sante""]","['40', '40.66', '41.3', '42.22', '42.65']","['60', '91', '46', '45', '68']","['Sylas', 'Jayce', 'Pantheon', 'Varus', 'Gangplank']","['70', '67.92', '67.9', '65.63', '63.46']","['30', '53', '81', '32', '52']",2.3333333333333335
23,Olaf,2.0,top,42.98,2.53,2.02,-3,18631,iron,2.0,4.0,"['Kled', 'Heimerdinger', 'Trundle', 'Yorick', 'Kayle']","['39.39', '40.58', '40.97', '42.55', '42.7']","['33', '69', '288', '141', '89']","['Jayce', 'Gangplank', 'Riven', 'Quinn', 'Renekton']","['68.18', '59.09', '58.57', '58.14', '57.61']","['44', '44', '70', '43', '92']",2.6666666666666665
24,Brand,2.0,top,44.89,0.22,10.05,0,1615,iron,2.0,,['Trundle'],['42.42'],['33'],['Teemo'],['58.93'],['56'],2.0
25,Illaoi,2.0,top,46.48,7.13,22.13,21,52570,iron,1.0,2.0,"['Teemo', 'Heimerdinger', 'Yorick', 'Kayle', 'Gangplank']","['41.86', '44.21', '45.33', '45.38', '45.45']","['946', '190', '450', '390', '132']","['Riven', 'Camille', 'Renekton', 'Shen', ""K'Sante""]","['64.02', '62.18', '61.72', '60.87', '60.14']","['214', '156', '290', '92', '148']",1.6666666666666667
26,Sylas,2.0,top,40.87,0.74,17.02,-3,5441,iron,3.0,5.0,"['Urgot', 'Tryndamere', 'Aatrox', 'Yorick', 'Yasuo']","['30', '31.91', '38.89', '39.62', '40.32']","['30', '47', '90', '53', '62']","['Tahm Kench', 'Kayle', 'Irelia', 'Akali', 'Darius']","['63.89', '59.57', '57.45', '56.82', '53.57']","['36', '47', '47', '44', '84']",3.3333333333333335
27,Neeko,2.0,top,43.89,0.21,6.08,0,1579,iron,4.0,,"['Mordekaiser', 'Garen', 'Nasus', 'Teemo']","['33.33', '42.31', '47.22', '48.94']","['39', '52', '36', '47']","['Malphite', 'Darius', 'Illaoi', 'Jax', 'Sett']","['70.59', '61.29', '56', '55.88', '54.17']","['34', '31', '50', '34', '48']",3.0
28,Kled,2.333,top,44.21,0.94,0.79,0,6912,iron,3.0,4.0,"['Volibear', ""Cho'Gath"", 'Sion', 'Garen', 'Malphite']","['37.74', '39.02', '40', '40.32', '40.82']","['53', '41', '35', '124', '49']","['Renekton', 'Fiora', 'Olaf', 'Urgot', 'Darius']","['71.79', '65.31', '60.61', '58.7', '57.29']","['39', '49', '33', '46', '96']",3.111
29,Quinn,2.333,top,43.06,1.5,1.87,-2,11054,iron,3.0,5.0,"['Ornn', 'Dr. Mundo', 'Camille', 'Yorick', 'Illaoi']","['31.71', '34.67', '38.46', '40.63', '41.03']","['41', '75', '39', '64', '117']","['Riven', 'Fiora', 'Vayne', 'Volibear', 'Darius']","['65.12', '62.5', '61.54', '58.33', '57.76']","['43', '40', '39', '84', '161']",3.4443333333333332
30,Camille,2.333,top,40.84,1.79,1.12,-6,13204,iron,3.0,5.0,"['Heimerdinger', 'Illaoi', 'Dr. Mundo', 'Malphite', 'Sett']","['37.14', '37.82', '38.03', '39.42', '40']","['35', '156', '71', '104', '195']","['Gangplank', ""K'Sante"", 'Quinn', 'Riven', 'Gnar']","['64.52', '61.7', '61.54', '55.07', '54.17']","['31', '47', '39', '69', '48']",3.4443333333333332
31,Cassiopeia,2.333,top,41.63,0.16,1.19,0,1165,iron,4.0,,['Teemo'],['44.19'],['43'],[],[],[],3.1665
32,Twisted Fate,2.333,top,41.53,0.07,0.19,0,484,iron,3.0,,[],[],[],[],[],[],2.6665
33,Lissandra,2.333,top,43.75,0.05,0.74,0,336,iron,2.0,,[],[],[],[],[],[],2.1665
34,Varus,2.333,top,42.88,0.66,1.97,-1,4883,iron,3.0,5.0,"['Jax', 'Urgot', 'Volibear', 'Yorick', 'Trundle']","['31.25', '34.38', '35.14', '35.14', '40.3']","['64', '32', '37', '37', '67']","['Kayle', 'Aatrox', 'Darius', 'Tryndamere', 'Mordekaiser']","['60', '56.1', '53.42', '52.78', '50.54']","['35', '41', '73', '36', '93']",3.4443333333333332
