rank,champion_name,tier,lane,win_rate,pick_rate,ban_rate,pbi,games_played,tier_rank
18,Draven,B+,bottom,49.35,4.65,11.34,-3,790878,all
19,Veigar,B,bottom,51.88,0.69,3.23,1,117920,all
20,Kalista,B,bottom,48.95,2.78,1.61,-3,473660,all
21,Miss Fortune,B,bottom,51.35,12.58,4.09,18,2140836,all
22,Kog'Maw,B,bottom,51.41,1.30,0.37,2,221431,all
23,Varus,B-,bottom,49.67,9.30,2.72,-3,1581478,all
24,Samira,B-,bottom,49.84,8.16,21.38,-2,1388471,all
25,Quinn,B-,bottom,49.44,0.09,1.75,0,15110,all
26,Xayah,B-,bottom,48.59,6.30,2.36,-9,1071922,all
27,Kai'Sa,B-,bottom,48.09,17.09,4.40,-34,2907298,all
28,Akshan,C+,bottom,49.26,0.14,2.88,0,23141,all
29,Aphelios,C+,bottom,47.89,4.42,1.04,-9,752726,all
30,Senna,C+,bottom,47.88,0.44,7.59,-1,74335,all
31,Cho'Gath,C,bottom,49.81,0.10,0.90,0,16706,all
32,Lucian,C,bottom,49.80,11.06,3.26,-2,1881584,all
33,Twisted Fate,C,bottom,49.02,0.08,0.23,0,14396,all
34,Hwei,C,bottom,44.83,0.60,22.65,-4,102818,all
35,Caitlyn,C-,bottom,49.67,19.02,14.30,-7,3235702,all
36,Tristana,C-,bottom,49.33,5.79,2.82,-4,984247,all
37,Sivir,D+,bottom,49.68,3.40,0.90,-1,578278,all
38,Teemo,D+,bottom,48.94,0.17,10.21,0,28287,all
39,Vel'Koz,D,bottom,48.81,0.07,0.57,0,12130,all
40,Zeri,D-,bottom,47.32,2.32,0.51,-6,395312,all
41,Corki,D-,bottom,46.95,0.06,0.12,0,10383,all
1,Rakan,S+,support,51.41,7.03,3.44,10,1196555,all
2,Janna,S+,support,51.90,3.97,0.84,8,675325,all
3,Taliyah,S,support,51.93,0.13,1.01,0,22518,all
4,Sylas,S,support,50.99,0.77,19.95,1,130987,all
5,Poppy,S,support,51.84,0.33,2.30,1,56183,all
6,Bard,S-,support,50.55,2.79,0.43,2,475151,all
7,Zac,S-,support,52.47,0.45,1.29,1,76852,all
8,Xerath,S-,support,52.36,6.80,16.60,19,1156446,all
9,Zyra,A+,support,52.96,6.42,7.98,21,1093024,all
10,Senna,A+,support,50.23,11.12,7.59,3,1892232,all
11,Brand,A+,support,51.51,5.33,7.77,9,906290,all
12,Blitzcrank,A+,support,50.88,8.52,32.26,11,1448994,all
13,Soraka,A+,support,51.30,4.59,1.44,6,780132,all
14,Shaco,A,support,51.64,1.32,28.13,3,224030,all
15,Lux,A,support,50.16,14.79,16.20,3,2516001,all
16,Taric,A,support,51.79,1.10,0.23,2,187097,all
17,Zilean,A,support,51.31,1.86,0.48,2,316166,all
18,Renata Glasc,A,support,51.46,2.51,0.97,4,427029,all
19,Alistar,A,support,50.41,4.02,1.74,2,684636,all
20,Maokai,A,support,52.70,1.60,0.65,4,272832,all
21,Fiddlesticks,A-,support,52.01,0.47,1.85,1,79633,all
22,Heimerdinger,A-,support,50.88,1.25,1.66,1,213192,all
23,Elise,A-,support,51.60,0.04,1.02,0,7043,all
24,Galio,A-,support,50.93,0.55,0.38,1,94403,all
25,Sona,A-,support,51.11,2.38,0.11,3,405112,all
26,Milio,A-,support,51.05,3.47,1.14,4,591080,all
27,Swain,A-,support,50.22,4.11,3.78,1,699214,all
28,Teemo,B+,support,51.54,0.87,10.21,1,147885,all
29,Nami,B+,support,50.60,4.69,0.28,3,797809,all
30,LeBlanc,B+,support,50.35,0.49,7.00,0,83700,all
31,Zoe,B+,support,49.61,0.32,1.03,0,53649,all
32,Leona,B+,support,50.99,6.64,5.39,7,1128853,all
33,Kennen,B+,support,50.36,0.08,0.73,0,12787,all
34,Thresh,B+,support,49.71,10.95,4.06,-3,1862659,all
35,Ivern,B+,support,49.86,0.10,0.70,0,17837,all
36,Neeko,B,support,49.98,2.95,4.50,0,502014,all
37,Rell,B,support,49.89,2.61,1.79,0,443382,all
38,Karthus,B,support,48.48,0.09,1.37,0,15207,all
39,Annie,B,support,50.75,0.36,0.57,0,60581,all
40,Vel'Koz,B,support,50.81,2.27,0.57,2,385518,all
41,Pyke,B,support,49.60,6.70,11.63,-3,1139574,all
42,Rumble,B,support,48.79,0.07,1.46,0,12354,all
43,Morgana,B,support,51.20,9.10,26.41,15,1548348,all
44,Nautilus,B,support,49.34,9.13,14.47,-7,1554058,all
45,Syndra,B-,support,47.38,0.23,7.44,-1,38857,all
46,Orianna,B-,support,47.82,0.18,8.62,0,30356,all
47,Braum,B-,support,50.56,2.43,0.45,1,414125,all
48,Gragas,B-,support,48.10,0.20,0.60,0,33342,all
49,Twitch,B-,support,49.25,0.96,4.62,-1,163460,all
50,Amumu,B-,support,50.81,0.76,1.39,1,129045,all
51,Shen,B-,support,49.62,0.45,0.25,0,77059,all
52,Nidalee,B-,support,47.13,0.17,1.77,-1,29411,all
53,Lissandra,C+,support,49.76,0.21,1.19,0,35689,all
54,Singed,C+,support,48.75,0.09,0.48,0,14795,all
55,Seraphine,C+,support,48.74,4.15,1.19,-5,706460,all
56,Jarvan IV,C+,support,47.74,0.18,3.37,0,29964,all
57,Karma,C+,support,48.50,4.70,1.25,-7,798848,all
58,Tahm Kench,C+,support,49.57,0.99,1.85,0,169216,all
59,Sion,C+,support,48.96,0.18,1.68,0,31174,all
60,Camille,C+,support,46.59,0.23,1.72,-1,39198,all
61,Pantheon,C,support,48.13,2.26,3.48,-4,385136,all
62,Ahri,C,support,48.15,0.18,2.66,0,31190,all
63,Ziggs,C,support,49.00,0.63,2.86,-1,107914,all
64,Ashe,C,support,47.80,4.32,7.32,-10,734843,all
65,Vex,C,support,48.70,0.19,4.54,0,31670,all
66,Hwei,C,support,41.11,3.07,22.65,-35,521522,all
67,Twisted Fate,C-,support,46.52,0.09,0.23,0,16087,all
68,Ornn,C-,support,47.23,0.09,0.71,0,15392,all
69,Lulu,C-,support,48.57,5.33,2.85,-8,905919,all
70,Kog'Maw,C-,support,48.47,0.05,0.37,0,7925,all
71,Sett,C-,support,48.33,0.39,2.80,-1,66274,all
72,Nunu,D+,support,39.62,0.10,0.54,-1,17698,all
73,Aurelion Sol,D+,support,46.14,0.06,1.21,0,10005,all
74,Anivia,D+,support,47.16,0.32,1.13,-1,53703,all
75,Cho'Gath,D,support,47.23,0.26,0.90,-1,44741,all
76,Yuumi,D,support,47.15,4.71,3.64,-14,801304,all
77,Malphite,D,support,47.76,1.20,9.29,-3,204352,all
78,Sejuani,D-,support,45.89,0.06,0.35,0,10871,all
79,Veigar,D-,support,46.93,0.83,3.23,-3,140436,all
80,Miss Fortune,D-,support,44.62,1.04,4.09,-6,176141,all
1,Jax,S+,top,59.30,16.51,32.39,44,1818,challenger
2,Sylas,S,top,62.18,1.42,14.96,8,156,challenger
3,K'Sante,S,top,60.34,7.90,8.66,25,870,challenger
4,Riven,S-,top,60.09,7.69,6.88,21,847,challenger
5,Olaf,S-,top,64.25,4.01,3.25,28,442,challenger
6,Vayne,A+,top,63.51,1.34,8.35,9,148,challenger
7,Poppy,A+,top,59.11,2.64,5.48,4,291,challenger
8,Tryndamere,A+,top,62.21,2.72,4.39,13,299,challenger
9,Jayce,A,top,57.46,8.28,5.07,0,912,challenger
10,Camille,A,top,58.77,5.02,2.58,6,553,challenger
11,Darius,A,top,57.92,4.19,10.75,2,461,challenger
12,Vladimir,A,top,61.83,1.19,4.27,5,131,challenger
13,Fiora,A-,top,56.74,8.08,13.80,-7,890,challenger
14,Quinn,A-,top,64.10,1.42,0.51,9,156,challenger
15,Yasuo,A-,top,57.22,1.70,18.02,-1,187,challenger
16,Aatrox,A-,top,54.98,16.32,8.19,-45,1797,challenger
17,Gwen,B+,top,61.01,4.66,3.20,17,513,challenger
18,Pantheon,B+,top,58.92,3.87,3.44,6,426,challenger
19,Renekton,B+,top,57.96,7.30,7.59,4,804,challenger
20,Urgot,B+,top,66.34,1.83,0.32,16,202,challenger
21,Yone,B+,top,55.35,11.37,21.31,-31,1252,challenger
22,Rumble,B,top,57.91,7.40,6.98,3,815,challenger
23,Singed,B,top,60.19,0.98,0.68,3,108,challenger
24,Irelia,B,top,54.46,4.79,9.46,-16,527,challenger
25,Ornn,B,top,56.75,2.62,0.37,-2,289,challenger
26,Illaoi,B,top,58.13,1.45,2.92,1,160,challenger
27,Azir,B,top,57.75,1.29,1.17,0,142,challenger
28,Kennen,B-,top,55.20,4.01,3.30,-10,442,challenger
29,Gragas,B-,top,58.64,3.47,2.09,4,382,challenger
30,Kayle,B-,top,59.55,1.62,0.61,3,178,challenger
31,Shen,B-,top,58.82,2.01,0.20,3,221,challenger
32,Kled,B-,top,56.94,1.90,0.64,-1,209,challenger
33,Malphite,C+,top,56.42,4.31,10.46,-5,475,challenger
34,Warwick,C+,top,59.21,1.38,0.40,2,152,challenger
35,Nasus,C+,top,58.10,0.95,2.00,1,105,challenger
36,Akshan,C+,top,55.60,2.27,6.11,-5,250,challenger
37,Gnar,C,top,54.00,3.63,0.45,-13,400,challenger
38,Zac,C,top,56.12,1.26,2.38,-2,139,challenger
39,Rengar,C,top,54.17,1.53,21.92,-7,168,challenger
40,Ryze,C,top,59.41,0.92,0.16,2,101,challenger
41,Akali,C-,top,50.96,4.28,19.24,-35,471,challenger
42,Sion,C-,top,56.55,1.32,0.41,-1,145,challenger
43,Trundle,C-,top,54.86,3.18,2.57,-9,350,challenger
